"iso3","country_name","disaggregation","category","subject","grade_band","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","All","All","numeracy","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",2576,12.5921455751694,2572,11.8195956454121,12.5921455751694
"AFG","Afghanistan","All","All","numeracy","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",1700,41.3038250657403,1697,39.5403653506187,41.3038250657403
"AFG","Afghanistan","All","All","numeracy","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",421,57.742692812335,418,60.0478468899522,57.742692812335
"AFG","Afghanistan","All","All","reading","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",2576,9.53417894906194,2576,7.37577639751553,9.53417894906194
"AFG","Afghanistan","All","All","reading","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",1700,35.9237241834547,1700,33.4705882352941,35.9237241834547
"AFG","Afghanistan","All","All","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",421,55.4504546443398,421,54.6318289786223,55.4504546443398
"AFG","Afghanistan","Sex","Female","numeracy","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",1134,10.8446806248475,1133,9.62047661076787,10.8446806248475
"AFG","Afghanistan","Sex","Female","numeracy","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",628,36.5799615293113,626,35.9424920127796,36.5799615293113
"AFG","Afghanistan","Sex","Female","numeracy","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",82,57.2291572598049,81,59.2592592592593,57.2291572598049
"AFG","Afghanistan","Sex","Female","reading","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",1134,10.5493298396877,1134,7.14285714285714,10.5493298396877
"AFG","Afghanistan","Sex","Female","reading","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",628,37.5146613138196,628,33.1210191082803,37.5146613138196
"AFG","Afghanistan","Sex","Female","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",82,69.290324709101,82,62.1951219512195,69.290324709101
"AFG","Afghanistan","Wealth","Fourth","numeracy","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",540,13.2145413037603,538,13.1970260223048,13.2145413037603
"AFG","Afghanistan","Wealth","Fourth","numeracy","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",441,39.0097646844553,439,41.2300683371298,39.0097646844553
"AFG","Afghanistan","Wealth","Fourth","numeracy","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",117,55.598277137674,116,63.7931034482759,55.598277137674
"AFG","Afghanistan","Wealth","Fourth","reading","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",540,11.0075939638716,540,7.96296296296296,11.0075939638716
"AFG","Afghanistan","Wealth","Fourth","reading","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",441,36.532308166081,441,35.827664399093,36.532308166081
"AFG","Afghanistan","Wealth","Fourth","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",117,56.3493632292394,117,61.5384615384615,56.3493632292394
